REGULATING_AGENCY,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CLASSIFICATION,POPULATION,SERVICE_CONNECTIONS,COUNTY,CITY,ZIPCODE,VIOLATION_NUMBER,VIOLATION_TYPE_NAME,ANALYTE_NAME,RESULT,MCL,VIOL_BEGIN_DATE,VIOL_END_DATE,ENF_ACTION_NUMBER,ENF_ACTION_ISSUE_DATE,ENF_ACTION_TYPE_ISSUED
DISTRICT 10 - STOCKTON,CA0210001,LAKE ALPINE WATER COMPANY,COMMUNITY,625,487,ALPINE,ARNOLD,95223,1210014,"MCL,  AVERAGE",TOTAL HALOACETIC ACIDS (HAA5),.06580000 MG/L,0.060 MG/L,7/1/12,9/30/12,1310029,10/2/12,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 10 - STOCKTON,CA0210001,LAKE ALPINE WATER COMPANY,COMMUNITY,625,487,ALPINE,ARNOLD,95223,9710011,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.062 MG/L,0.060 MG/L,7/1/16,9/30/16,9910010,9/7/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 10 - STOCKTON,CA0210001,LAKE ALPINE WATER COMPANY,COMMUNITY,625,487,ALPINE,ARNOLD,95223,9710012,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.070 MG/L,0.060 MG/L,10/1/16,12/31/16,9910010,9/7/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 10 - STOCKTON,CA0210001,LAKE ALPINE WATER COMPANY,COMMUNITY,625,487,ALPINE,ARNOLD,95223,9710013,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.095 MG/L,0.060 MG/L,1/1/17,3/31/17,9910010,9/7/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 10 - STOCKTON,CA0210001,LAKE ALPINE WATER COMPANY,COMMUNITY,625,487,ALPINE,ARNOLD,95223,9710014,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.096 MG/L,0.060 MG/L,4/1/17,6/30/17,9910010,9/7/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 10 - STOCKTON,CA0210001,LAKE ALPINE WATER COMPANY,COMMUNITY,625,487,ALPINE,ARNOLD,95223,9710015,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.086 MG/L,0.060 MG/L,7/1/17,9/30/17,9910010,9/7/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 10 - STOCKTON,CA0210001,LAKE ALPINE WATER COMPANY,COMMUNITY,625,487,ALPINE,ARNOLD,95223,9710016,"MCL, LRAA",TOTAL HALOACETIC ACIDS (HAA5),0.0758 MG/L,0.060 MG/L,10/1/17,12/31/17,9910010,9/7/16,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 10 - STOCKTON,CA0310002,"AWA, IONE",COMMUNITY,6170,1991,AMADOR,JACKSON,95642,9310004,"MCL, LRAA",TTHM,0.084 MG/L,0.080 MG/L,1/1/17,3/31/17,9810005,3/8/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 10 - STOCKTON,CA0310004,"PLYMOUTH, CITY OF",COMMUNITY,1060,585,AMADOR,PLYMOUTH,95669,9910019,"MCL, LRAA",TTHM,0.081 MG/L,0.080 MG/L,4/1/17,6/30/17,9710009,8/3/17,FORMAL ENFORCEMENT ACTION ISSUED
DISTRICT 10 - STOCKTON,CA0310005,PINE GROVE COMM SERV DIST,COMMUNITY,846,388,AMADOR,PINE GROVE,95665,9410003,"MCL, LRAA",TTHM,0.0815 MG/L,0.080 MG/L,7/1/14,9/30/14,9510004,10/23/14,FORMAL ENFORCEMENT ACTION ISSUED
