GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
06001,2000,Alameda County,California,1443741.0,11.04,237089.0,45.3,852.0,55946.0,303100.0,26.8,40.94,14.62,18.97,0.37,20.27,0.59,3.91,0.32,3463.0,3375.0,1.42,1.46,1,0,0
06001,2001,Alameda County,California,1443741.0,11.04,238770.0,45.3,852.0,55946.0,303100.0,26.8,40.94,14.62,18.97,0.37,20.27,0.59,3.91,0.32,4381.0,2905.0,1.22,1.83,1,0,0
06001,2002,Alameda County,California,1443741.0,11.04,240450.0,45.3,852.0,55946.0,303100.0,26.8,40.94,14.62,18.97,0.37,20.27,0.59,3.91,0.32,4446.0,2659.0,1.11,1.85,1,0,0
06001,2003,Alameda County,California,1443741.0,11.04,242131.0,45.3,852.0,55946.0,303100.0,26.8,40.94,14.62,18.97,0.37,20.27,0.59,3.91,0.32,4311.0,2620.0,1.08,1.78,1,0,0
06001,2004,Alameda County,California,1443741.0,11.04,243812.0,45.3,852.0,55946.0,303100.0,26.8,40.94,14.62,18.97,0.37,20.27,0.59,3.91,0.32,3798.0,2864.0,1.17,1.56,1,0,0
06001,2005,Alameda County,California,1457095.0,7.82,245492.0,43.99,1166.0,68863.0,606700.0,30.4,37.07,12.6,21.32,0.31,24.44,0.72,3.0,0.54,3774.0,3177.0,1.29,1.54,1,0,0
06001,2006,Alameda County,California,1457095.0,7.82,247173.0,43.99,1166.0,68863.0,606700.0,30.4,37.07,12.6,21.32,0.31,24.44,0.72,3.0,0.54,4050.0,3267.0,1.32,1.64,1,0,0
06001,2007,Alameda County,California,1457095.0,7.82,248854.0,43.99,1166.0,68863.0,606700.0,30.4,37.07,12.6,21.32,0.31,24.44,0.72,3.0,0.54,4817.0,3597.0,1.45,1.94,1,0,0
06001,2008,Alameda County,California,1457095.0,7.82,250535.0,43.99,1166.0,68863.0,606700.0,30.4,37.07,12.6,21.32,0.31,24.44,0.72,3.0,0.54,6002.0,4208.0,1.68,2.4,1,0,0
06001,2009,Alameda County,California,1457095.0,7.82,252215.0,43.99,1166.0,68863.0,606700.0,30.4,37.07,12.6,21.32,0.31,24.44,0.72,3.0,0.54,5065.0,3707.0,1.47,2.01,1,0,0
06001,2010,Alameda County,California,1510271.0,8.36,253896.0,46.57,1265.0,71516.0,514900.0,31.0,34.07,12.19,22.51,0.28,25.86,0.79,4.03,0.28,4502.0,3127.0,1.23,1.77,1,0,0
06001,2011,Alameda County,California,1584983.0,8.51,257887.0,47.28,1367.0,75619.0,543100.0,31.2,32.98,11.32,22.6,0.31,27.52,0.84,4.18,0.26,3785.0,2948.0,1.14,1.47,1,0,0
06001,2012,Alameda County,California,1584983.0,8.51,261877.0,47.28,1367.0,75619.0,543100.0,31.2,32.98,11.32,22.6,0.31,27.52,0.84,4.18,0.26,3496.0,2651.0,1.01,1.33,1,0,0
06001,2013,Alameda County,California,1584983.0,8.51,265868.0,47.28,1367.0,75619.0,543100.0,31.2,32.98,11.32,22.6,0.31,27.52,0.84,4.18,0.26,3408.0,2468.0,0.93,1.28,1,0,0
06001,2014,Alameda County,California,1584983.0,8.51,269859.0,47.28,1367.0,75619.0,543100.0,31.2,32.98,11.32,22.6,0.31,27.52,0.84,4.18,0.26,2411.0,1824.0,0.68,0.89,1,0,0
06001,2015,Alameda County,California,1584983.0,8.51,273849.0,47.28,1367.0,75619.0,543100.0,31.2,32.98,11.32,22.6,0.31,27.52,0.84,4.18,0.26,2552.0,1768.0,0.65,0.93,1,0,0
06001,2016,Alameda County,California,1584983.0,8.51,277840.0,47.28,1367.0,75619.0,543100.0,31.2,32.98,11.32,22.6,0.31,27.52,0.84,4.18,0.26,2654.0,1640.0,0.59,0.96,1,0,0
06003,2000,Alpine County,California,1208.0,19.48,153.0,31.68,659.0,41875.0,184200.0,21.9,71.77,0.58,7.78,15.56,0.33,0.08,3.39,0.5,2.0,1.0,0.65,1.31,0,0,0
06003,2001,Alpine County,California,1208.0,19.48,152.0,31.68,659.0,41875.0,184200.0,21.9,71.77,0.58,7.78,15.56,0.33,0.08,3.39,0.5,2.0,1.0,0.66,1.32,0,0,0
06003,2002,Alpine County,California,1208.0,19.48,150.0,31.68,659.0,41875.0,184200.0,21.9,71.77,0.58,7.78,15.56,0.33,0.08,3.39,0.5,0.0,0.0,0.0,0.0,0,0,0
06003,2003,Alpine County,California,1208.0,19.48,149.0,31.68,659.0,41875.0,184200.0,21.9,71.77,0.58,7.78,15.56,0.33,0.08,3.39,0.5,1.0,1.0,0.67,0.67,0,0,0
06003,2004,Alpine County,California,1208.0,19.48,148.0,31.68,659.0,41875.0,184200.0,21.9,71.77,0.58,7.78,15.56,0.33,0.08,3.39,0.5,0.0,0.0,0.0,0.0,0,0,0
06003,2005,Alpine County,California,1153.0,5.66,147.0,33.33,820.0,54605.0,433300.0,31.0,70.95,0.0,2.34,20.9,2.52,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0,0,0
06003,2006,Alpine County,California,1153.0,5.66,145.0,33.33,820.0,54605.0,433300.0,31.0,70.95,0.0,2.34,20.9,2.52,0.0,3.3,0.0,1.0,1.0,0.69,0.69,0,0,0
06003,2007,Alpine County,California,1153.0,5.66,144.0,33.33,820.0,54605.0,433300.0,31.0,70.95,0.0,2.34,20.9,2.52,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0,0,0
06003,2008,Alpine County,California,1153.0,5.66,143.0,33.33,820.0,54605.0,433300.0,31.0,70.95,0.0,2.34,20.9,2.52,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0,0,0
06003,2009,Alpine County,California,1153.0,5.66,141.0,33.33,820.0,54605.0,433300.0,31.0,70.95,0.0,2.34,20.9,2.52,0.0,3.3,0.0,2.0,2.0,1.42,1.42,0,0,0
06003,2010,Alpine County,California,1175.0,2.4,140.0,28.17,755.0,59931.0,371300.0,32.5,72.51,0.0,7.15,17.87,0.6,0.0,1.79,0.09,1.0,1.0,0.71,0.71,0,0,0
06003,2011,Alpine County,California,1131.0,8.44,139.0,21.23,913.0,52917.0,295000.0,37.3,64.1,0.97,9.55,19.36,1.24,1.41,3.36,0.0,4.0,0.0,0.0,2.88,0,0,0
